ID,Mannschaft,Verteidigung,Mittelfeld,Angriff,Gesamt,Spiel 1,Spiel 2,Spiel 3,Spiel 4,Spiel 5
1,FC Augsburg,74,75,75,74,0,3,0,0,0
2,Hertha BSC,77,75,77,75,1,0,3,1,0
3,SV Werder Bremen,76,78,76,77,1,1,3,1,1
4,Borussia Dortmund,79,82,81,82,3,1,1,1,3
5,Fortuna Düsseldorf,72,72,72,73,0,1,3,0,3
6,Eintracht Frankfurt,77,77,85,80,1,1,1,1,3
7,Sport-Club Freiburg,72,74,75,74,0,1,1,1,3
8,Hannover 96,74,74,74,75,0,0,3,0,0
9,TSG 1899 Hoffenheim,79,78,77,77,3,1,1,3,1
10,RB Leipzig,77,79,80,80,3,3,1,3,1
11,Bayer 04 Leverkusen,79,80,80,80,3,3,3,3,0
12,1. FSV Mainz 05,75,75,74,75,3,0,0,0,3
13,Borussia Mönchengladbach,78,78,81,79,3,3,0,1,0
14,FC Bayern München,85,84,90,83,3,0,3,3,3
15,1. FC Nürnberg,72,72,74,72,0,1,0,1,0
16,FC Schalke 04,79,77,70,75,1,0,0,1,0
17,VfB Stuttgart,74,76,74,75,0,1,0,0,1
18,VfL Wolfsburg,77,78,77,77,0,3,1,3,3
